ID,XMIN,XMAX,YMIN,YMAX,PNTCNT,XCTR,YCTR
194,603379.000000000000000,603879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,603629.00000,5205034.00000
195,603879.000000000000000,604379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,604129.00000,5205034.00000
196,604379.000000000000000,604879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,604629.00000,5205034.00000
197,604879.000000000000000,605379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,605129.00000,5205034.00000
198,605379.000000000000000,605879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,605629.00000,5205034.00000
199,605879.000000000000000,606379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,606129.00000,5205034.00000
200,606379.000000000000000,606879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,606629.00000,5205034.00000
201,606879.000000000000000,607379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,607129.00000,5205034.00000
202,607379.000000000000000,607879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,607629.00000,5205034.00000
203,607879.000000000000000,608379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,608129.00000,5205034.00000
204,608379.000000000000000,608879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,608629.00000,5205034.00000
205,608879.000000000000000,609379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,609129.00000,5205034.00000
206,609379.000000000000000,609879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,609629.00000,5205034.00000
207,609879.000000000000000,610379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,610129.00000,5205034.00000
208,610379.000000000000000,610879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,610629.00000,5205034.00000
209,610879.000000000000000,611379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,611129.00000,5205034.00000
210,611379.000000000000000,611879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,611629.00000,5205034.00000
211,611879.000000000000000,612379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,612129.00000,5205034.00000
212,612379.000000000000000,612879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,612629.00000,5205034.00000
213,612879.000000000000000,613379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,613129.00000,5205034.00000
214,613379.000000000000000,613879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,613629.00000,5205034.00000
215,613879.000000000000000,614379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,614129.00000,5205034.00000
216,614379.000000000000000,614879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,614629.00000,5205034.00000
217,614879.000000000000000,615379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,615129.00000,5205034.00000
218,615379.000000000000000,615879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,615629.00000,5205034.00000
219,615879.000000000000000,616379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,616129.00000,5205034.00000
220,616379.000000000000000,616879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,616629.00000,5205034.00000
221,616879.000000000000000,617379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,617129.00000,5205034.00000
222,617379.000000000000000,617879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,617629.00000,5205034.00000
223,617879.000000000000000,618379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,618129.00000,5205034.00000
224,618379.000000000000000,618879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,618629.00000,5205034.00000
225,581379.000000000000000,581879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,581629.00000,5204534.00000
226,581879.000000000000000,582379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,582129.00000,5204534.00000
227,582379.000000000000000,582879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,582629.00000,5204534.00000
228,582879.000000000000000,583379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,583129.00000,5204534.00000
229,583379.000000000000000,583879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,583629.00000,5204534.00000
230,583879.000000000000000,584379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,584129.00000,5204534.00000
231,584379.000000000000000,584879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,584629.00000,5204534.00000
232,584879.000000000000000,585379.000000000000000,5204284.000000000000000,5204784.000000000000000,0,585129.00000,5204534.00000
233,585379.000000000000000,585879.000000000000000,5204284.000000000000000,5204784.000000000000000,0,585629.00000,5204534.00000
